Nucleotide,Family,Genus,Species,Strain,Genotype,Segment,H5 Clade,Subclade,Host Group,Geographic Location,Host Common Name
934,PQ830200,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020797-007-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
935,PQ830206,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020797-006-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
936,PQ830212,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020797-004-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
937,PQ830219,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020797-003-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
938,PQ830226,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020797-002-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
939,PQ830233,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020795-001-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
940,PQ830240,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020712-009-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
941,PQ830246,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020712-008-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
942,PQ830252,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020712-005-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
943,PQ830259,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020712-004-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
944,PQ830266,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020712-002-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
945,PQ830273,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020712-001-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
946,PQ830280,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020284-011-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
947,PQ830286,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020284-010-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
948,PQ830292,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020284-009-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
949,PQ830299,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020284-008-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
950,PQ830306,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020284-005-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
951,PQ830313,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020284-002-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
952,PQ830320,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020284-004-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
953,PQ830326,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020175-004-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
954,PQ830332,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020175-002-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
955,PQ830339,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020175-001-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
956,PQ830346,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020172-002-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
957,PQ830353,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-020172-001-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
958,PQ830360,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019694-002-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
959,PQ830366,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019693-010-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
960,PQ830372,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019693-008-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
961,PQ830379,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019693-008-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
962,PQ830386,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019693-007-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
963,PQ830393,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019693-005-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
964,PQ830400,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019693-004-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
965,PQ830406,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019691-013-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
966,PQ830412,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019691-012-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
967,PQ830419,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019691-012-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
968,PQ830426,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019691-009-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
969,PQ830433,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019691-007-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
970,PQ830440,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019691-005-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
971,PQ830446,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019691-004-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
972,PQ830452,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019691-001-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
973,PQ830459,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019601-002-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
974,PQ830466,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019381-016-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
975,PQ830473,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019381-015-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
976,PQ830480,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019381-013-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
977,PQ830486,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019381-007-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
978,PQ830492,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019381-006-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
979,PQ830499,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019381-005-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
980,PQ830506,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019381-004-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
981,PQ830513,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-019381-002-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
982,PQ830520,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018872-002-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
983,PQ830526,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018872-002-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
984,PQ830532,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018871-005-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
985,PQ830539,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018871-004-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
986,PQ830546,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018871-003-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
987,PQ830553,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018871-001-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
988,PQ830560,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018869-001-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
989,PQ830566,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018772-013-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
990,PQ830572,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018772-009-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
991,PQ830579,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018771-003-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
992,PQ830586,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018766-007-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
993,PQ830593,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018766-003-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
994,PQ830600,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018766-001-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
995,PQ830606,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018637-001-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
996,PQ830612,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018336-012-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
997,PQ830619,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018336-009-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
998,PQ830626,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018336-008-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
999,PQ830633,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018336-004-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1000,PQ830640,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018336-002-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1001,PQ830646,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018334-009-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1002,PQ830652,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018336-001-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1003,PQ830659,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018334-008-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1004,PQ830666,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018334-008-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1005,PQ830673,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018334-005-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1006,PQ830680,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018334-007-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1007,PQ830686,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018334-004-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1008,PQ830692,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018334-001-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1009,PQ830699,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018151-005-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1010,PQ830706,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018334-001-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1011,PQ830713,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018151-004-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1012,PQ830720,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018151-001-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1013,PQ830726,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018149-003-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1014,PQ830732,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018151-001-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1015,PQ830739,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018030-004-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1016,PQ830746,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018030-002-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1017,PQ830760,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018029-006-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1018,PQ830766,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018029-004-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1019,PQ830772,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018029-005-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1020,PQ830779,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018029-001-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1021,PQ830786,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018028-019-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1022,PQ830793,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018028-014-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1023,PQ830800,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018028-013-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1024,PQ830806,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018028-012-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1025,PQ830812,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018028-009-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1026,PQ830819,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018028-011-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1027,PQ830826,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018028-008-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1028,PQ830833,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018028-007-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1029,PQ830840,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018028-005-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1030,PQ830846,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018028-002-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1031,PQ830852,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018027-005-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1032,PQ830859,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-018025-001-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1033,PQ830866,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017811-005-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1034,PQ830873,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017662-014-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1035,PQ830880,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017662-011-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1036,PQ830886,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017662-013-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1037,PQ830892,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017662-006-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1038,PQ830899,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017662-005-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1039,PQ830906,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017662-002-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1040,PQ830913,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017660-003-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1041,PQ830920,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017660-002-original/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1042,PQ830926,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017660-003-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1043,PQ830932,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017660-001-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1044,PQ830939,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017154-010-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1045,PQ830946,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017154-006-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1046,PQ830953,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017154-003-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1047,PQ830960,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017154-003-original/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1048,PQ830966,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017152-023-original/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1049,PQ830972,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017152-018-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1050,PQ830979,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017152-014-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1051,PQ830986,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017152-016-original/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1052,PQ830993,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017152-014-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1053,PQ831000,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017152-003-original/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1054,PQ831006,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017152-008-original/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1055,PQ831012,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017152-001-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
1056,PQ831019,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/CO/24-017148-007-original/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: CO,Cow
